 # New Simulation
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  2.000000000E+08 -3.495859375E+20  1.326015625E+20  1.326015625E+20  1.328994943E+37  9.643910999E+19  3.763904016E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.134081981E+12  7.594453125E+20 -5.183515625E+20  1.205468750E+19  3.026310247E+37  9.643910999E+19  1.652907004E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  4.302123331E+12 -4.942421875E+20  5.665703125E+20 -8.438281250E+19  2.178235047E+37  9.643910999E+19  2.296450702E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  6.320669360E+12  6.810898438E+20 -4.158867188E+20 -1.808203125E+19  4.034587941E+36  4.821955500E+19  1.239831545E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  8.458486154E+12 -3.254765625E+20  6.871171875E+20  1.084921875E+20  1.745001434E+37  9.643910999E+19  2.866593289E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.055554005E+13 -2.290390625E+20 -2.772578125E+20 -1.326015625E+20  1.458457876E+37  9.946538871E+19  3.429793541E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.274582221E+13 -2.471210937E+20 -6.208164062E+20 -2.109570313E+20  1.624878334E+36  7.532318108E+19  3.078513202E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.482929054E+13  7.051992188E+20  3.797226563E+20  2.591757812E+20  1.505222561E+36  9.944654667E+19  3.323235733E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.896669970E+13  3.797226563E+20  6.027343750E+18  7.413632812E+20  2.048162025E+34  2.505680868E+20  2.442291840E+08  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.536875170E+13  3.616406250E+19  4.219140625E+20  1.567109375E+20  9.428205263E+36  9.643910999E+19  5.305579654E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.744396773E+13 -6.569804688E+20  2.953398437E+20  1.627382812E+20  1.649077024E+36  5.724953854E+19  3.033338848E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.167844909E+13  3.736953125E+20  3.978046875E+20  1.084921875E+20  1.705716898E+37  9.644009921E+19  2.932614087E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.364275861E+13  4.399960938E+20 -6.208164062E+20  2.953398437E+20  1.586503873E+36  1.205478899E+20  3.152976483E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.582126959E+13 -2.832851563E+20  4.641054687E+20  1.506835938E+20  1.564664607E+36  5.427603961E+19  3.196985080E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.785666799E+13  7.293085937E+20  9.041015625E+19 -6.810898438E+20  1.013511284E+34  2.698922283E+20  4.935524134E+08  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.996629115E+13 -5.123242188E+20 -4.219140625E+19 -1.989023437E+20  7.145332914E+35  5.122301464E+19  7.000666676E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  4.207176195E+13 -4.279414062E+20 -4.399960938E+20 -3.676679688E+20  1.510653048E+36  1.687634699E+20  3.311289384E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  4.416472486E+13 -2.591757813E+20 -4.641054688E+20 -1.024648438E+20  2.423978369E+36  4.821955500E+19  2.063636156E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  4.626827134E+13 -3.315039062E+20  1.747929687E+20 -6.630078125E+19  3.235685793E+36  4.821955500E+19  1.545950294E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  4.839819709E+13  1.265742187E+20  6.087617188E+20 -6.027343750E+18  4.966069961E+36  5.122280213E+19  1.007277272E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  5.056581075E+13 -1.205468750E+19  8.438281250E+19  1.326015625E+20  1.377644498E+37  9.946361332E+19  3.630987101E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  5.256978080E+13  3.194492188E+20  5.123242188E+20 -4.219140625E+19  3.791727372E+36  4.821955500E+19  1.319242897E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  5.480187898E+13 -3.073945312E+20 -5.846523437E+20 -6.027343750E+18  4.326520144E+36  4.821955500E+19  1.156173839E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  5.685900501E+13  3.013671875E+19  5.002695313E+20 -4.219140625E+19  3.796025023E+36  4.821955500E+19  1.317749322E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  5.900459420E+13  2.230117187E+20  3.435585937E+20 -1.989023437E+20  1.677202511E+36  6.631961364E+19  2.982471926E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  6.111487429E+13  3.254765625E+20 -6.147890625E+20 -1.084921875E+20  1.636210882E+37  9.643761114E+19  3.057191134E+05  1.000000000E+00  0.000000000E+00  0.000000000E+00
  6.314351097E+13 -5.967070313E+20 -5.725976563E+20  3.013671875E+19  4.002771168E+36  4.821955500E+19  1.249686578E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  6.529560677E+13 -4.520507812E+20 -3.194492188E+20  1.265742187E+20  1.671791846E+36  5.121100478E+19  2.992124536E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  6.738622442E+13 -5.725976563E+20  7.835546875E+19 -9.041015625E+19  2.709726702E+36  4.821955500E+19  1.846019895E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  6.940349567E+13 -3.194492188E+20  5.967070313E+20 -1.024648438E+20  2.503346771E+36  5.121100478E+19  1.998208742E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  7.154996701E+13 -1.024648438E+20 -5.484882813E+20  6.027343750E+18  4.166457201E+36  4.821955500E+19  1.200590612E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  7.365901438E+13  6.569804687E+20 -4.641054688E+20  4.219140625E+19  2.377894254E+36  4.821955500E+19  2.103629879E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  7.788893015E+13  5.846523437E+20 -3.556132812E+20 -1.808203125E+19  4.671390086E+36  4.821955500E+19  1.070818174E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  8.203294660E+13  3.194492188E+20  5.967070313E+20 -6.690351562E+20  1.859394136E+35  2.732232875E+20  2.690236193E+07  1.000000000E+00  0.000000000E+00  0.000000000E+00
  8.412169213E+13  4.882148437E+20 -6.569804688E+20  4.219140625E+19  4.322067838E+36  4.821955500E+19  1.157364852E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  8.628557657E+13 -2.591757813E+20  6.931445313E+20  1.868476563E+20  1.653352646E+36  5.724953854E+19  3.025494539E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.042117808E+13  2.832851563E+20 -5.002695313E+20 -1.024648438E+20  2.369227024E+36  5.121100478E+19  2.111325488E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.253441823E+13 -6.961582031E+20 -2.923261719E+20 -1.295878906E+20  1.463345838E+36  5.123915565E+19  3.418337123E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.463028668E+13  4.038320312E+20  6.630078125E+19 -5.484882813E+20  8.485007499E+35  2.966436307E+20  5.895350597E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.673250885E+13 -4.882148437E+20  1.808203125E+19  9.041015625E+19  2.375346566E+36  4.821955500E+19  2.105886137E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  9.882676140E+13 -2.064365234E+20 -5.198583984E+20 -5.575292969E+19  1.465688570E+36  4.520215326E+19  3.412873311E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.009714466E+14  1.989023438E+20  2.712304687E+20 -4.219140625E+19  4.471109881E+36  4.821903040E+19  1.118784717E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.030207453E+14  4.399960938E+20 -7.534179687E+20 -1.024648438E+20  2.390976914E+36  5.121100478E+19  2.092119490E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.051342124E+14  3.797226563E+20  5.725976562E+20 -6.449257813E+20  1.558069228E+35  2.793550009E+20  3.210518064E+07  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.072372179E+14  2.365732422E+20  5.560224609E+20 -7.986230469E+19  1.563357412E+36  3.917040915E+19  3.199658225E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  1.093801737E+14 -3.164355469E+20 -7.202675781E+20 -1.295878906E+20  1.598586706E+36  6.329400083E+19  3.129144877E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
