# time(Myr), x(pc), y(pc), z(pc)
2.498370254391969070e+01 -6.836651779997066569e+01 -1.699396299358527074e+02 -1.757996171582573908e+01
2.505085558153978909e+01 1.826362689285321323e+02 -8.692314404746255718e+01 -2.929993619304289698e+00
2.511730966233173490e+01 8.448148269399133881e+01 -2.978826846373714687e+01 1.806829398651998275e+01
2.518348576254214422e+01 2.050995533675041926e+01 4.785656245673867915e+01 2.832327165165441585e+01
2.531676381917509744e+01 2.285395023219384996e+02 1.230597320269840793e+02 8.399315040385241105e+01
2.538405601186401839e+01 1.201297383833739474e+02 1.298963837972588067e+02 3.613658797952152213e+01
2.545065055961163125e+01 -1.650563072289102706e+02 -1.269663901536486783e+01 -6.348319509302822894e+01
2.551680242477247873e+01 -8.399315043626020838e+01 -1.504063391404907861e+02 -3.320659436831918754e+01
2.558344441592516461e+01 1.347797065042012434e+02 -2.050995533350964024e+02 -2.929993619304289965e+01
2.565025085557837059e+01 -1.919145820522780639e+02 2.456311317638292451e+02 4.443823655539742390e+01
2.571623722019418423e+01 1.074330993906945366e+02 -2.011928951760240238e+02 -3.320659436831918754e+01
2.584968840786371658e+01 -1.943562434057492965e+02 -1.845895980242722203e+02 8.789980856292480382e+00
2.591603669163687940e+01 2.339111572866120810e+02 2.339111572866120810e+02 1.294080515071198931e+02
2.598256613303926699e+01 7.227317592663524692e+01 1.113397575173591179e+02 -6.445985960849048979e+01
2.604941403655537968e+01 -1.582196554262277743e+02 5.859987238608579396e+00 2.929993619304289965e+01
2.611596663244353067e+01 -2.246328441628661210e+02 -2.011928951760240238e+02 5.859987238608579396e+00
2.618353863411666183e+01 6.445985964089827291e+01 8.789980856292480382e+01 -1.367330355675335340e+01
2.624925414797069578e+01 -9.766645397680967733e+00 -2.050995533350964024e+02 -4.492656884553634455e+01
2.631535183600780670e+01 -3.320659436831918754e+01 -1.777529462539974929e+02 1.953329079536193280e+00
2.638229063046619416e+01 -1.860545948298733947e+02 1.362447033098024178e+02 -3.955491384845499425e+01
2.644880436091464659e+01 1.845895980242722203e+02 -3.222992981396757983e+01 -9.766645397680966401e-01
2.651536240398509392e+01 -8.399315043626020838e+01 -1.504063391404907861e+02 -3.320659436831918754e+01
2.658197164233021681e+01 4.004324613859391491e+01 1.982629015648217035e+02 -2.929993619304289698e+00
2.664852985334752944e+01 -4.883322697220093822e-01 2.978826846373714687e+01 4.443823655539742390e+01
